aX,aY,aZ,gX,gY,gZ
0.429,-0.131,0.290,-32.166,197.632,53.772
0.456,-0.101,0.259,-36.011,196.960,53.955
0.466,-0.074,0.215,-33.020,195.801,55.176
0.463,-0.081,0.201,-28.442,197.144,48.828
0.471,-0.104,0.155,-33.508,197.205,41.992
0.480,-0.094,0.116,-40.955,196.533,35.034
0.508,-0.079,0.021,-43.274,194.824,28.503
0.519,-0.099,0.009,-39.246,193.420,30.579
0.531,-0.140,-0.001,-35.400,193.115,37.048
0.593,-0.188,-0.117,-38.635,193.481,42.236
0.629,-0.172,-0.200,-42.969,192.932,56.152
0.700,-0.134,-0.394,-40.405,190.491,62.805
0.729,-0.108,-0.470,-34.485,175.964,70.923
0.738,-0.028,-0.504,-34.973,163.574,70.251
0.732,0.019,-0.465,-45.349,142.151,59.814
0.704,0.093,-0.428,-47.241,137.451,57.129
0.689,0.122,-0.422,-42.114,137.390,55.481
0.692,0.192,-0.460,-41.260,138.672,54.382
0.708,0.246,-0.531,-42.847,137.085,53.101
0.710,0.306,-0.583,-43.579,122.192,47.546
0.685,0.344,-0.575,-42.053,115.967,41.382
0.678,0.305,-0.560,-43.091,111.877,30.212
0.674,0.237,-0.551,-46.143,110.718,23.315
0.693,0.192,-0.587,-46.936,107.544,11.597
0.683,0.118,-0.593,-43.274,105.896,11.230
0.673,0.096,-0.582,-40.527,110.718,11.353
0.724,-0.019,-0.653,-39.246,114.441,10.193
0.755,-0.080,-0.715,-28.320,128.174,15.076
0.785,-0.147,-0.987,-23.621,138.367,22.766
0.833,-0.161,-1.221,-35.156,147.156,38.391
1.011,-0.125,-1.691,-42.480,133.362,42.419
1.065,-0.088,-1.779,-48.523,79.163,38.879
0.979,-0.028,-1.515,-42.236,51.147,37.354
0.862,-0.004,-1.288,-34.058,27.283,38.940
0.750,0.055,-1.098,-30.334,2.502,36.255
0.639,0.180,-0.791,-25.940,-1.038,31.494
0.617,0.200,-0.635,-8.484,-5.371,25.085
0.492,0.208,-0.371,-4.333,-5.005,25.085
0.444,0.229,-0.324,-10.071,14.099,16.174
0.467,0.266,-0.454,-11.658,26.794,7.629
0.517,0.217,-0.549,-7.141,41.321,-9.277
0.636,0.057,-0.746,-6.836,41.382,-14.832
0.646,0.005,-0.818,-18.188,36.987,-14.771
0.670,-0.084,-0.960,-26.367,36.682,-12.512
0.699,-0.120,-1.028,-29.114,28.564,-7.996
0.656,-0.102,-1.023,-24.902,20.203,-5.615
0.609,-0.035,-1.004,-16.602,7.202,-2.869
0.576,0.064,-1.013,-11.169,2.808,-2.563
0.571,0.083,-1.023,-5.920,-3.540,-0.916
0.560,0.112,-1.016,-0.427,-22.949,-2.075
0.563,0.135,-0.911,1.099,-32.532,-9.399
0.558,0.118,-0.834,5.005,-45.959,-21.667
0.560,0.087,-0.778,6.897,-45.837,-25.818
