aX,aY,aZ,gX,gY,gZ
-0.262,0.018,1.219,6.165,-7.080,-14.893
-0.222,0.057,1.161,4.089,-3.967,-13.184
-0.203,0.067,1.108,-1.892,1.831,-7.812
-0.179,0.111,0.975,1.892,1.526,-6.958
-0.200,0.085,0.962,20.691,-4.700,-9.705
-0.245,-0.036,0.981,27.527,-5.859,-10.498
-0.215,-0.071,0.936,38.574,-2.991,-10.986
-0.142,-0.103,0.849,39.429,-1.953,-11.292
-0.136,-0.094,0.831,30.823,-2.441,-10.681
-0.107,0.002,0.908,10.193,-7.935,-9.766
-0.130,-0.001,0.990,1.709,-9.705,-10.193
-0.189,-0.011,1.093,-5.432,-6.409,-6.287
-0.182,0.001,1.068,-5.432,-2.808,-3.662
-0.172,0.013,1.027,-10.254,-0.427,-0.366
-0.205,-0.016,1.034,-10.254,-2.014,0.488
-0.227,-0.033,1.049,-4.578,-2.075,3.235
-0.226,-0.062,1.008,2.441,-1.343,3.540
-0.209,-0.073,0.994,13.306,-0.732,5.066
-0.147,-0.015,0.897,13.367,-0.671,5.920
-0.160,-0.002,0.916,6.409,-4.150,3.174
-0.184,0.025,1.001,3.113,-4.028,2.136
-0.169,0.042,1.009,0.061,0.122,0.854
-0.145,0.027,0.923,2.625,1.038,-0.305
-0.167,-0.002,0.933,6.836,-3.052,-3.357
-0.208,-0.024,0.984,4.822,-3.540,-3.235
-0.207,-0.005,0.984,0.610,-2.930,-0.793
-0.204,-0.013,0.970,3.113,-4.211,-0.671
-0.186,-0.011,0.994,7.019,-3.540,-0.427
-0.117,0.031,0.940,4.639,-1.404,-0.488
-0.108,0.063,0.932,2.014,-1.465,-0.549
-0.203,0.002,1.029,-1.831,-5.127,-3.845
-0.231,-0.034,1.033,-0.366,-4.883,-3.784
-0.232,-0.048,1.006,4.944,-3.479,-2.380
-0.242,-0.105,1.008,4.517,-3.235,-3.174
-0.237,-0.100,1.005,4.700,-2.136,-1.831
-0.209,-0.052,1.011,5.554,-1.953,-1.160
-0.204,-0.042,1.022,5.066,-1.038,-0.549
-0.193,-0.022,1.006,4.883,-0.183,-0.549
-0.197,-0.035,0.999,6.165,-1.282,-1.160
-0.188,-0.043,1.002,5.249,-1.282,-0.793
-0.180,-0.043,0.977,1.404,-0.854,-0.977
-0.203,-0.073,1.003,-0.854,-1.099,-2.258
-0.207,-0.079,1.015,-1.526,0.732,-2.258
-0.187,-0.037,1.005,0.305,0.549,-2.014
-0.203,-0.054,1.025,3.052,-1.282,-3.113
-0.219,-0.093,1.019,6.226,-1.160,-2.258
-0.211,-0.088,1.011,12.329,-1.404,-0.549
-0.182,-0.056,1.006,11.963,-0.610,-0.671
-0.180,-0.049,0.995,7.202,0.183,-1.099
-0.197,-0.057,1.024,5.188,0.183,-0.671
-0.190,-0.054,1.011,3.601,2.625,0.549
-0.169,-0.055,0.943,3.662,2.563,0.305
-0.178,-0.065,0.942,4.211,1.038,-0.488
-0.185,-0.061,0.964,5.066,-1.953,-1.587
-0.185,-0.056,0.972,3.662,-2.563,-1.831
-0.198,-0.063,0.983,-1.160,-3.113,-2.258
-0.233,-0.104,1.015,-2.625,-2.747,-2.014
-0.230,-0.102,1.007,-4.089,-0.244,0.366
-0.206,-0.069,1.009,-3.418,0.061,1.221
-0.192,-0.051,1.008,-2.808,1.465,2.075
-0.183,-0.042,0.997,-2.319,1.282,2.197
-0.175,-0.034,0.974,-0.793,1.160,1.038
-0.174,-0.053,0.945,0.916,-0.610,-0.183
-0.184,-0.067,0.953,3.845,-3.906,-0.488
-0.171,-0.041,0.974,5.127,-4.395,0.427
-0.162,-0.027,0.977,1.587,-3.906,0.000
-0.196,-0.067,0.995,-1.282,-4.150,-0.916
-0.227,-0.095,1.021,-2.686,-2.930,-0.366
-0.254,-0.127,1.023,-1.770,-1.465,0.916
-0.239,-0.115,1.014,-2.441,1.404,3.906
-0.150,-0.014,0.955,-1.953,2.014,4.333
-0.116,0.028,0.938,-0.244,-1.038,-0.732
-0.175,-0.017,0.983,-1.038,-3.296,-3.723
-0.217,-0.046,1.015,0.671,-5.554,-3.357
-0.251,-0.095,1.021,1.770,-5.005,-1.892
-0.239,-0.096,1.014,3.357,-3.113,1.343
-0.206,-0.070,0.989,1.160,-1.770,1.160
-0.199,-0.067,0.971,-1.465,-0.793,-0.244
-0.202,-0.065,0.983,0.000,-2.686,-1.526
-0.214,-0.071,1.007,1.404,-3.540,-0.916
-0.216,-0.069,1.019,-0.488,-1.160,0.610
-0.204,-0.053,1.001,-1.221,-0.427,0.305
-0.210,-0.052,1.011,-0.122,-0.671,-1.465
-0.215,-0.071,1.004,2.563,-0.610,-1.953
-0.214,-0.072,1.008,6.042,-0.244,-0.305
-0.202,-0.059,0.995,5.554,0.000,0.427

1.444,0.330,1.339,96.069,31.677,31.250
1.887,0.491,1.310,141.235,62.988,29.968
2.727,0.855,0.835,157.654,78.674,19.531
3.333,0.920,0.552,213.501,71.350,-10.315
4.000,1.438,-0.477,171.509,41.443,-17.334
3.953,1.699,-0.935,-82.764,-61.768,-75.073
1.721,1.106,-0.485,-217.651,-109.741,-113.892
0.052,0.893,-0.028,-331.055,-162.476,-78.979
-2.402,1.409,0.556,-276.611,-180.237,-54.749
-3.246,1.340,0.602,-155.396,-197.144,-75.378
-4.000,-0.212,2.573,180.969,-292.419,-148.743
-4.000,-1.305,3.450,330.627,-287.781,-144.043
-4.000,-2.288,3.477,415.100,-94.177,-46.509
-2.727,-2.948,0.600,337.830,23.132,15.137
-1.460,-2.314,-0.747,4.700,83.984,76.538
-0.063,-0.353,-0.640,-153.198,49.744,68.420
-0.258,0.233,0.219,-248.779,-16.235,34.363
-0.810,0.459,1.576,-192.017,-15.320,27.100
-0.699,0.282,1.379,-39.124,28.442,22.644
-0.200,-0.172,0.547,5.127,31.067,21.423
-0.143,-0.391,0.459,15.259,6.775,17.151
-0.111,-0.341,0.589,0.122,-0.427,13.123
-0.209,-0.220,0.832,-45.837,-3.052,4.272
-0.300,0.045,1.149,-51.453,3.235,5.432
-0.209,0.145,1.098,-44.434,10.803,7.324
0.023,0.245,0.819,-35.828,18.372,5.005
0.068,0.292,0.723,-33.264,15.015,1.038
0.025,0.276,0.725,-18.433,-2.625,-14.648
-0.123,0.111,0.824,-2.380,-9.949,-20.752
-0.163,-0.013,0.867,22.705,-17.212,-25.635
-0.231,-0.214,0.952,22.522,-17.700,-23.376
-0.243,-0.216,0.960,12.756,-15.686,-14.709
-0.234,-0.137,1.008,8.484,-16.052,-12.451
-0.215,-0.077,1.026,1.221,-14.954,-10.254
-0.221,-0.032,1.088,-1.221,-14.587,-10.986
-0.234,-0.028,1.099,-3.113,-10.498,-11.353
-0.229,0.024,1.139,1.038,-9.521,-11.536
-0.200,0.061,1.128,7.690,-3.540,-11.841
-0.152,0.075,1.015,11.719,-2.075,-12.939
-0.163,0.037,0.996,11.292,-2.258,-15.381
-0.193,-0.030,0.957,7.812,-1.587,-15.015
-0.196,-0.063,0.926,5.493,-0.977,-14.771
-0.192,-0.120,0.881,4.456,-2.441,-13.550
-0.188,-0.120,0.887,5.005,-4.578,-12.268
-0.197,-0.126,0.945,-1.343,-6.897,-9.888
-0.130,-0.038,1.013,-1.953,-5.127,-7.629
-0.078,0.010,0.995,-1.526,-2.502,-4.517
-0.143,0.010,1.045,-3.723,-2.930,-4.395
-0.208,-0.039,1.087,-2.136,-0.610,-4.944
-0.227,-0.102,1.053,2.258,2.014,-3.418
-0.179,-0.083,1.003,11.902,4.272,0.488
-0.104,-0.021,0.880,12.756,3.174,0.916
-0.124,-0.027,0.888,11.719,-3.296,-3.174
-0.206,-0.106,0.940,11.414,-4.883,-4.517
-0.224,-0.127,0.942,11.230,-4.028,-3.601
-0.186,-0.098,0.907,10.559,-3.418,-2.014
-0.173,-0.053,0.905,4.456,-4.456,-0.061
-0.202,-0.052,0.964,2.563,-4.883,-1.099
-0.216,-0.088,0.971,6.836,-4.944,-0.549
-0.179,-0.057,0.985,7.202,-4.150,1.221
-0.129,0.007,0.935,1.099,-1.038,0.183
-0.131,0.006,0.952,0.183,-3.540,-2.869
-0.162,-0.038,0.985,1.099,-6.165,-4.822
-0.170,-0.088,0.957,7.080,-8.423,-2.991
-0.196,-0.098,0.999,7.507,-9.766,-2.502
-0.243,-0.130,1.055,-0.732,-5.432,-6.775
-0.302,-0.221,1.075,0.977,-2.686,-6.348
-0.253,-0.179,1.030,7.690,0.793,0.366
-0.122,-0.053,0.864,8.301,-1.099,1.587
-0.140,-0.061,0.884,9.155,-13.489,-0.977
-0.268,-0.151,1.033,11.108,-17.029,-1.648
-0.291,-0.164,1.106,3.723,-9.583,-2.747
-0.280,-0.178,1.059,-4.089,-2.197,-3.174
-0.279,-0.194,1.024,-4.150,3.113,-1.038
-0.221,-0.164,0.965,-0.305,3.296,1.160
-0.171,-0.117,0.916,0.977,1.770,2.686
-0.205,-0.119,0.964,0.977,-1.831,1.343
-0.228,-0.118,1.020,4.150,-2.625,1.465
-0.214,-0.112,1.005,7.019,-1.892,1.160
-0.235,-0.158,1.014,7.080,-1.953,-1.953
-0.244,-0.167,1.034,6.226,-0.916,-0.671
-0.220,-0.124,1.003,0.122,1.404,1.892
-0.241,-0.126,1.053,-3.601,0.977,2.563
-0.225,-0.100,1.034,-5.066,2.380,4.272
-0.191,-0.067,0.987,-0.671,3.052,4.700
-0.207,-0.099,0.993,-0.854,1.343,2.441
-0.229,-0.121,1.000,-0.916,0.732,0.916
-0.230,-0.126,0.998,-0.610,1.221,1.160
-0.205,-0.104,0.978,-1.038,1.953,1.709
-0.194,-0.083,0.972,-2.136,1.099,1.038
-0.196,-0.086,0.968,-3.418,0.000,-0.183
-0.216,-0.108,0.976,-3.662,-0.549,-0.183
-0.215,-0.095,0.982,-3.174,-0.427,0.732
-0.186,-0.038,0.965,-3.357,-0.122,0.366
-0.190,-0.049,0.977,-5.005,-1.160,-2.686
-0.238,-0.123,0.991,-5.005,-0.549,-3.235
-0.231,-0.134,0.968,-3.845,1.587,-1.282
-0.202,-0.110,0.944,-5.188,1.099,-1.038
-0.198,-0.094,0.955,-4.211,-0.732,-0.916
-0.183,-0.060,0.960,-0.977,-1.770,-1.221
-0.190,-0.072,0.960,3.601,-4.883,-2.869
-0.239,-0.132,1.004,3.601,-5.432,-2.869
-0.246,-0.149,1.006,0.122,-2.075,-0.916
-0.216,-0.123,0.991,-2.441,-0.549,0.000
-0.213,-0.113,0.986,-5.310,0.061,0.244
-0.222,-0.111,1.009,-4.150,-0.061,0.427
-0.200,-0.100,0.976,-0.916,0.854,1.465
-0.179,-0.068,0.951,-0.549,-0.549,0.916
-0.196,-0.076,0.965,-0.732,-1.953,-0.427
-0.233,-0.112,0.999,3.174,-3.906,-1.282
-0.238,-0.117,1.000,4.211,-3.784,-0.366
-0.234,-0.096,0.993,1.038,-2.014,0.671
-0.233,-0.099,0.984,-0.916,-1.099,0.061
-0.226,-0.091,0.983,3.052,-1.526,0.854
-0.225,-0.086,0.987,4.211,-1.648,0.793
-0.233,-0.096,0.993,1.404,-1.465,0.305
